,localizacao,title,url,valor
112,Rio de Janeiro -  RJ,iPhone XS Max ,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-xs-max-804063177,R$ 2.600
113,São Paulo -  SP,IPhone 6s,https://sp.olx.com.br/sao-paulo-e-regiao/celulares/iphone-6s-804063178,R$ 890
114,Fortaleza -  CE,iPhone ,https://ce.olx.com.br/fortaleza-e-regiao/celulares/iphone-804063162,R$ 500
115,Duque de Caxias -  RJ,Iphone 7,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-7-804063126,R$ 1.300
116,Boa Vista -  RR,iPhone XR ,https://rr.olx.com.br/roraima/celulares/iphone-xr-804063100,R$ 3.500
117,Ribeirão das Neves -  MG,iPhone 6 (retirada de peças),https://mg.olx.com.br/belo-horizonte-e-regiao/celulares/iphone-6-retirada-de-pecas-804063088,R$ 250
118,Guarujá -  SP,Realme X3 Super Zoom Global ,https://sp.olx.com.br/baixada-santista-e-litoral-sul/celulares/realme-x3-super-zoom-global-804063079,R$ 3.099
119,Camaçari -  BA,IPhone 5s - Perfeito estado,https://ba.olx.com.br/grande-salvador/celulares/iphone-5s-perfeito-estado-804063040,R$ 500
120,Rio de Janeiro -  RJ,1600,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/1600-804063662,R$ 1.600
121,Salvador -  BA,Troca ,https://ba.olx.com.br/grande-salvador/celulares/troca-804062991,R$ 700
122,Manaus -  AM,IPhone 8,https://am.olx.com.br/regiao-de-manaus/celulares/iphone-8-804062970,R$ 2.650
123,São Leopoldo -  RS,IPhone 7 128GB,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/celulares/iphone-7-128gb-802779792,R$ 1.650
124,Maceió -  AL,IPhone 6S 128GB ,https://al.olx.com.br/alagoas/celulares/iphone-6s-128gb-804062958,R$ 1.500
125,Feira de Santana -  BA,IPhone 8 Plus,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/celulares/iphone-8-plus-804062937,R$ 2.700
126,Salvador -  BA,Vendo capa para iphone 5s ,https://ba.olx.com.br/grande-salvador/celulares/vendo-capa-para-iphone-5s-804062914,R$ 20
127,Brasília -  DF,IPhone 7,https://df.olx.com.br/distrito-federal-e-regiao/celulares/iphone-7-804062903,R$ 1.000
128,Palmas -  TO,Iphone 7s,https://to.olx.com.br/tocantins/celulares/iphone-7s-804062838,R$ 2.100
129,Ribeirão Preto -  SP,iPhone 7 128 g,https://sp.olx.com.br/regiao-de-ribeirao-preto/celulares/iphone-7-128-g-804062830,R$ 1.600
130,Paulista -  PE,iPhone 7 128g,https://pe.olx.com.br/grande-recife/celulares/iphone-7-128g-804062777,R$ 2.000
131,Araucária -  PR,Promoção de tapetes felpudos,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/objetos-de-decoracao/promocao-de-tapetes-felpudos-804062693,R$ 139
132,Fortaleza -  CE,Carregdor H'Maston original iphone ,https://ce.olx.com.br/fortaleza-e-regiao/bijouteria-relogios-e-acessorios/carregdor-h-maston-original-iphone-804062694,R$ 30
